"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
distsearch,distributedSearch,authTokenConnectionTimeout,60,,,
distsearch,distributedSearch,authTokenReceiveTimeout,60,,,
distsearch,distributedSearch,authTokenSendTimeout,60,,,
distsearch,distributedSearch,bestEffortSearch,FALSE,,,
distsearch,distributedSearch,connectionTimeout,30,,,
distsearch,distributedSearch,peerResolutionThreads,FALSE,,,DEPRECATED
distsearch,distributedSearch,receiveTimeout,600,1200,,
distsearch,distributedSearch,sendTimeout,30,60,,
distsearch,distributedSearch,serverTimeout,10,20,,
distsearch,distributedSearch,shareBundles,TRUE,,,
distsearch,distributedSearch,statusTimeout,120,,,
distsearch,distributedSearch,useSHPBundleReplication,TRUE,,,
distsearch,replicationSettings,allowDeltaUpload,TRUE,,,
distsearch,replicationSettings,allowSkipEncoding,TRUE,,,
distsearch,replicationSettings,allowStreamUpload,auto,,,
distsearch,replicationSettings,concerningReplicatedFileSize,50,,,
distsearch,replicationSettings,connectionTimeout,60,120,,
distsearch,replicationSettings,excludeReplicatedLookupSize,FALSE,,,
distsearch,replicationSettings,maxBundleSize,3072,,,
distsearch,replicationSettings,maxMemoryBundleSize,10,,,
distsearch,replicationSettings,replicationThreads,5,,,
distsearch,replicationSettings,sanitizeMetaFiles,TRUE,,,
distsearch,replicationSettings,sendRcvTimeout,60,120,,
limits,anomalousvalue,maxresultrows,50000,,,
limits,anomalousvalue,maxvalues,0,,,
limits,anomalousvalue,maxvaluesize,0,,,
limits,associate,maxfields,10000,,,
limits,associate,maxvalues,0,,,
limits,associate,maxvaluesize,0,,,
limits,authtokens,"expiration_time",3600,,,
limits,"auto_summarizer","cache_timeout",5184000,,,
limits,"auto_summarizer","detailed_dashboard",TRUE,,,
limits,"auto_summarizer","maintenance_period",1800,,,
limits,"auto_summarizer","normalized_summaries",TRUE,,,
limits,"auto_summarizer","return_actions_with_normalized_ids",fromcontext,,,
limits,"auto_summarizer","search_2_hash_cache_timeout",5184000,,,
limits,"auto_summarizer","shc_accurate_access_counts",FALSE,,,
limits,autoregress,maxp,10000,,,
limits,autoregress,maxrange,1000,,,
limits,concurrency,"max_count",10000000,,,
limits,correlate,maxfields,1000,,,
limits,ctable,maxvalues,1000,,,
limits,default,"max_mem_usage_mb",200,,,
limits,dfs,"dfc_control_port",17000,,,
limits,dfs,"dfc_num_slots",4,,,
limits,dfs,"dfs_max_num_keepalives",10,,,
limits,dfs,"dfs_max_reduce_partition_size",500000,,,
limits,dfs,"dfw_num_slots",10,,,
limits,dfs,"dfw_num_slots_enabled",FALSE,,,
limits,dfs,"dfw_receiving_data_port",17500,,,
limits,dfs,"dfw_receiving_data_port_count",0,,,
limits,directives,"read_summary",enabled,,,
limits,directives,"required_eventtypes",enabled,,,
limits,directives,"required_tags",enabled,,,
limits,discretize,maxbins,50000,,,
limits,findkeywords,maxevents,50000,,,
limits,geostats,filterstrategy,2,,,
limits,geostats,maxzoomlevel,9,,,
limits,geostats,"zl_0_gridcell_latspan","22.5",,,
limits,geostats,"zl_0_gridcell_longspan",45,,,
limits,"http_input","max_content_length",1000000,,,
limits,"http_input","max_number_of_ack_channel",1000000,,,
limits,"http_input","max_number_of_acked_requests_pending_query",10000000,,,
limits,"http_input","max_number_of_acked_requests_pending_query_per_ack_channel",1000000,,,
limits,"http_input","max_number_of_tokens",10000,,,
limits,"http_input","metrics_report_interval",60,,,
limits,indexpreview,"max_preview_bytes",2000000,,,
limits,indexpreview,"max_results_perchunk",2500,,,
limits,indexpreview,"soft_preview_queue_size",100,,,
limits,inputcsv,"mkdir_max_retries",100,,,
limits,inputproc,"file_tracking_db_threshold_mb",500,,,
limits,inputproc,"learned_sourcetypes_limit",1000,,,
limits,inputproc,"monitornohandle_max_heap_mb",0,,,
limits,iplocation,"db_path","/opt/splunk/etc/apps/Splunk_geoip/bin/GeoLite2-City-Latest.mmdb",,,
limits,join,"subsearch_maxout",50000,,,
limits,join,"subsearch_maxtime",60,,,
limits,join,"subsearch_timeout",120,240,,
limits,kmeans,maxdatapoints,100000000,,,
limits,kmeans,maxkrange,100,,,
limits,kmeans,maxkvalue,1000,,,
limits,kv,"avg_extractor_time",500,,,
limits,kv,"indexed_kv_limit",200,,,
limits,kv,limit,100,,,
limits,kv,"max_extractor_time",1000,,,
limits,kv,maxchars,10240,,,
limits,kv,maxcols,512,,,
limits,kvstore,"max_accelerations_per_collection",10,,,
limits,kvstore,"max_documents_per_batch_save",1000,,,
limits,kvstore,"max_fields_per_acceleration",10,,,
limits,kvstore,"max_queries_per_batch",1000,,,
