"Config_File",Stanza,Setting,"Default_Value","Current_Value","Proposed_Value","Possible_Values","Stanza_Description","Setting_Description"
distsearch,distributedSearch,authTokenConnectionTimeout,5,60,,,,
distsearch,distributedSearch,authTokenReceiveTimeout,10,60,,,,
distsearch,distributedSearch,authTokenSendTimeout,10,60,,,,
distsearch,distributedSearch,bcsPath,"/bcs/v1/buckets",,,,,
distsearch,distributedSearch,bestEffortSearch,FALSE,FALSE,,"<boolean>",,
distsearch,distributedSearch,connectionTimeout,10,30,,,,
distsearch,distributedSearch,defaultUriScheme,https,,,,,
distsearch,distributedSearch,disabled,FALSE,,,"<boolean>",,
distsearch,distributedSearch,peerResolutionThreads,,,,"<integer>",,DEPRECATED
distsearch,distributedSearch,receiveTimeout,600,600,1200,,,
distsearch,distributedSearch,sendTimeout,30,30,60,,,
distsearch,distributedSearch,serverTimeout,10,10,20,,,
distsearch,distributedSearch,servers,,,,,,
distsearch,distributedSearch,shareBundles,TRUE,TRUE,,"<boolean>",,
distsearch,distributedSearch,statusTimeout,10,120,,,,
distsearch,distributedSearch,useSHPBundleReplication,TRUE,TRUE,,"<boolean>",,
distsearch,replicationBlacklist,"DMC_NOT_REPLICATE_FORWARDER_ASSETS","apps/splunk_monitoring_console/lookups/dmc_forwarder_assets.csv",,,,,
distsearch,replicationBlacklist,conf,"(system|(apps/*))/(default|local)/server.conf",,,,,
distsearch,replicationBlacklist,framework,"apps/framework/...",,,,,
distsearch,replicationBlacklist,lookupindexfiles,"(system|apps/*|users(/_reserved)?/*/*)/lookups/*.(tmp$|index($|/...))",,,,,
distsearch,replicationBlacklist,sampleapp,"apps/sample_app/...",,,,,
distsearch,replicationBlacklist,"user_specific_meta","users(/_reserved)?/*/*/metadata/local.meta",,,,,
distsearch,replicationSettings,allowDeltaUpload,TRUE,TRUE,,"<boolean>",,
distsearch,replicationSettings,allowSkipEncoding,TRUE,TRUE,,"<boolean>",,
distsearch,replicationSettings,allowStreamUpload,auto,auto,,,,
distsearch,replicationSettings,concerningReplicatedFileSize,500,50,,,,
distsearch,replicationSettings,connectionTimeout,60,60,120,,,
distsearch,replicationSettings,excludeReplicatedLookupSize,,,,"<integer>",,
distsearch,replicationSettings,maxBundleSize,2048,3072,,,,
distsearch,replicationSettings,maxMemoryBundleSize,10,10,,,,
distsearch,replicationSettings,replicationThreads,5,5,,,,
distsearch,replicationSettings,sanitizeMetaFiles,TRUE,TRUE,,"<boolean>",,
distsearch,replicationSettings,sendRcvTimeout,60,60,120,,,
distsearch,"replicationSettings:refineConf","replicate.app",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.authorize",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.collections",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.commands",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.eventtypes",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.fields",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.literals",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.lookups",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.multikv",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.props",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.segmenters",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.tags",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.transactiontypes",TRUE,,,"<boolean>",,
distsearch,"replicationSettings:refineConf","replicate.transforms",TRUE,,,"<boolean>",,
distsearch,replicationWhitelist,javabin,"apps/splunk_archiver/java-bin/...",,,,,
distsearch,replicationWhitelist,kvstore,"kvstore_*/...",,,,,
distsearch,replicationWhitelist,other,"(system|(apps/(?!pdfserver)*)|users(/_reserved)?/*/*)/(bin|lookups)/...",,,,,
distsearch,replicationWhitelist,"refine.conf","(system|(apps/*)|users(/_reserved)?/*/*)/(default|local)/*.conf",,,,,
distsearch,replicationWhitelist,"refine.metadata","(system|(apps/*)|users(/_reserved)?/*/*)/metadata/*.meta",,,,,
distsearch,replicationWhitelist,searchscripts,"searchscripts/...",,,,,
distsearch,tokenExchKeys,certDir,"$SPLUNK_HOME/etc/auth/distServerKeys",,,,,
distsearch,tokenExchKeys,genKeyScript,"$SPLUNK_HOME/bin/splunk,createssl,audit-keys",,,,,
distsearch,tokenExchKeys,privateKey,"private.pem",,,,,
distsearch,tokenExchKeys,publicKey,"trusted.pem",,,,,
limits,anomalousvalue,maxresultrows,50000,50000,,,,
limits,anomalousvalue,maxvalues,0,0,,,,
limits,anomalousvalue,maxvaluesize,0,0,,,,
limits,associate,maxfields,10000,10000,,,,
limits,associate,maxvalues,0,0,,,,
