App,Lookup,Author,"App_Sharing",Filename,Type,Collection,"Last_Updated",Disabled,"Match_Type",Replicate,"Allow_Caching",Filter,"Index_Fields_List","Min_Matches","Max_Matches","Fields_List"
"SA-devforall","app_config_lookup",SYSTEM,global,,kvstore,"app_config","1970-01-01T00:00:00+00:00",0,,,,,,,,"_key, lastChecked, status, datasource"
"SA-devforall","author_override_lookup",SYSTEM,global,,kvstore,"author_override","1970-01-01T00:00:00+00:00",0,,,,,,,,"_key, Name, Bio, linkedin, twitter, Headshot"
"SA-devforall","example_test_lookup",SYSTEM,global,,kvstore,"example_test","1970-01-01T00:00:00+00:00",0,,,,,,,,"_key, _time, status, message, user"
"Splunk_ML_Toolkit",specialdays,SYSTEM,app,"specialdays.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"Date,HolidayName,_time,holidayvalue"
"Splunk_SA_CIM","cam_action_mode_lookup",SYSTEM,global,"cam_action_modes.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"action_mode"
"Splunk_SA_CIM","cam_action_status_lookup",SYSTEM,global,"cam_action_statuses.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"action_status"
"Splunk_SA_CIM","cam_category_lookup",SYSTEM,global,"cam_categories.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,category
"Splunk_SA_CIM","cam_subject_lookup",SYSTEM,global,"cam_subjects.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,subject
"Splunk_SA_CIM","cam_task_lookup",SYSTEM,global,"cam_tasks.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,task
"Splunk_SA_CIM","cam_worker_lookup",SYSTEM,global,"cam_workers.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"worker_set,cam_workers"
"Splunk_SA_CIM","cim_access_action_lookup",SYSTEM,global,"cim_access_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
"Splunk_SA_CIM","cim_cloud_domain_lookup",SYSTEM,global,"cim_cloud_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,"domain,registrant,is_email,is_storage"
"Splunk_SA_CIM","cim_corporate_email_domain_lookup",SYSTEM,global,"cim_corporate_email_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,domain
"Splunk_SA_CIM","cim_corporate_web_domain_lookup",SYSTEM,global,"cim_corporate_web_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,domain
"Splunk_SA_CIM","cim_dlp_action_lookup",SYSTEM,global,"cim_dlp_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
"Splunk_SA_CIM","cim_dlp_object_category_lookup",SYSTEM,global,"cim_dlp_object_categories.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"object_category"
"Splunk_SA_CIM","cim_dlp_type_lookup",SYSTEM,global,"cim_dlp_types.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"dlp_type"
"Splunk_SA_CIM","cim_dns_reply_code_lookup",SYSTEM,global,"cim_dns_reply_codes2.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,1,,"reply_code_id,reply_code"
"Splunk_SA_CIM","cim_email_protocol_lookup",SYSTEM,global,"cim_email_protocols.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,protocol
