"Splunk_Role","splunk_server",app,sharing,stanza,name,value,title,attribute,author,updated
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,action,"case(match(_raw,""action\=login\sattempt"") AND match(_raw,""info\=succeeded""),""success"",match(_raw,""action\=login\sattempt"") AND match(_raw,""info\=failed""),""failure"",match(_raw,""action\=add""),""created"",match(_raw,""action\=delete""),""deleted"",match(_raw,""action\=update""),""modified"",1=1,action)","audittrail : EVAL-action","EVAL-action",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,app,"if(match(_raw,""action\=login\sattempt""),""splunk"",app)","audittrail : EVAL-app","EVAL-app",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"file_modify_time","strptime(modtime, ""%a %b %d %H:%M:%S %Y"")","audittrail : EVAL-file_modify_time","EVAL-file_modify_time",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,user,"if(isnull(user) OR user=""n/a"" OR user="""",user_id,user)","audittrail : EVAL-user","EVAL-user",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"vendor_status","if(isdir==0 OR isdir==1, ""success"", vendor_status)","audittrail : EVAL-vendor_status","EVAL-vendor_status",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:audit",command,"if(match(cmd,""^[0-9A-F]+$""),urldecode(replace(cmd,""([0-9A-F]{2})"",""%\1"")),cmd)","linux:audit : EVAL-command","EVAL-command",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","bytes_in","if(plugin==""interface"" and isnotnull(if_octets_rx), if(isnum(if_octets_rx), if_octets_rx, 0), fillnull)","linux:collectd:graphite : EVAL-bytes_in","EVAL-bytes_in",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","bytes_out","if(plugin==""interface"" and isnotnull(if_octets_tx), if(isnum(if_octets_tx), if_octets_tx, 0), fillnull)","linux:collectd:graphite : EVAL-bytes_out","EVAL-bytes_out",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite",dsname,"mvindex(split(metric, "".""),1)","linux:collectd:graphite : EVAL-dsname","EVAL-dsname",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite",interface,"if(plugin==""interface"" and isnotnull(plugin_instance), plugin_instance, fillnull)","linux:collectd:graphite : EVAL-interface","EVAL-interface",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","mem_free","if(isnotnull(memory_free_value), memory_free_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-mem_free","EVAL-mem_free",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","mem_used","if(isnotnull(memory_used_value), memory_used_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-mem_used","EVAL-mem_used",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite",mount,"if(plugin==""df"" and isnotnull(plugin_instance), plugin_instance, fillnull)","linux:collectd:graphite : EVAL-mount","EVAL-mount",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","storage_free","if(isnotnull(df_complex_free_value), df_complex_free_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-storage_free","EVAL-storage_free",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","storage_used","if(isnotnull(df_complex_used_value), df_complex_used_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-storage_used","EVAL-storage_used",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","swap_free","if(isnotnull(swap_free_value), swap_free_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-swap_free","EVAL-swap_free",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","swap_percent","if(plugin==""swap"" and isnotnull(percent_used_value), percent_used_value, fillnull)","linux:collectd:graphite : EVAL-swap_percent","EVAL-swap_percent",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","swap_used","if(isnotnull(swap_used_value), swap_used_value/1024/1024, fillnull)","linux:collectd:graphite : EVAL-swap_used","EVAL-swap_used",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json",bytes,"if(plugin==""interface"" and isnotnull(if_octets_rx) and isnotnull(if_octets_tx), if(isnum(if_octets_rx), if_octets_rx, 0) + if(isnum(if_octets_tx), if_octets_tx, 0), fillnull)","linux:collectd:http:json : EVAL-bytes","EVAL-bytes",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","bytes_in","if(plugin==""interface"" and isnotnull(if_octets_rx), if(isnum(if_octets_rx), if_octets_rx, 0), fillnull)","linux:collectd:http:json : EVAL-bytes_in","EVAL-bytes_in",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","bytes_out","if(plugin==""interface"" and isnotnull(if_octets_tx), if(isnum(if_octets_tx), if_octets_tx, 0), fillnull)","linux:collectd:http:json : EVAL-bytes_out","EVAL-bytes_out",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json",interface,"if(plugin==""interface"" and isnotnull(plugin_instance), plugin_instance, fillnull)","linux:collectd:http:json : EVAL-interface","EVAL-interface",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","mem_free","if(isnotnull(memory_free_value), memory_free_value/1024/1024, fillnull)","linux:collectd:http:json : EVAL-mem_free","EVAL-mem_free",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","mem_used","if(isnotnull(memory_used_value), memory_used_value/1024/1024, fillnull)","linux:collectd:http:json : EVAL-mem_used","EVAL-mem_used",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json",mount,"if(plugin==""df"" and isnotnull(plugin_instance), plugin_instance, fillnull)","linux:collectd:http:json : EVAL-mount","EVAL-mount",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json",packets,"packets_in + packets_out","linux:collectd:http:json : EVAL-packets","EVAL-packets",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","storage_free","if(isnotnull(df_complex_free_value), df_complex_free_value/1024/1024, fillnull)","linux:collectd:http:json : EVAL-storage_free","EVAL-storage_free",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","storage_free_percent","percent_bytes_free_value","linux:collectd:http:json : EVAL-storage_free_percent","EVAL-storage_free_percent",SYSTEM,
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:http:json","storage_used","if(isnotnull(df_complex_used_value), df_complex_used_value/1024/1024, fillnull)","linux:collectd:http:json : EVAL-storage_used","EVAL-storage_used",SYSTEM,
