"Splunk_Role","splunk_server",app,sharing,stanza,title,attribute,transform,overwrite,value,author,type,updated
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"audittrail : REPORT-1vendor_object_category-vendor_status_for_splunk_endpoint_change","REPORT-1vendor_object_category-vendor_status_for_splunk_endpoint_change",,,"vendor_object_category-vendor_status-for_splunk_endpoint_change",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"audittrail : REPORT-2vendor_object-vendor_object_path_for_splunk_endpoint_change","REPORT-2vendor_object-vendor_object_path_for_splunk_endpoint_change",,,"vendor_object-vendor_object_path-for_splunk_endpoint_change",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,audittrail,"audittrail : REPORT-search_for_audittrail","REPORT-search_for_audittrail",,,"search_for_audittrail",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,"splunk_web_access","splunk_web_access : REPORT-app-view_for_splunk_web_access","REPORT-app-view_for_splunk_web_access",,,"app-view_for_splunk_web_access",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_SA_CIM",global,splunkd,"splunkd : REPORT-signature_for_sendmodalert","REPORT-signature_for_sendmodalert",,,"signature_for_sendmodalert",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:audit","linux:audit : REPORT-event_id","REPORT-event_id",,,"event_id",SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:audit","linux:audit : REPORT-object","REPORT-object",,,object,SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:audit","linux:audit : REPORT-op","REPORT-op",,,op,SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:audit","linux:audit : REPORT-subject","REPORT-subject",,,subject,SYSTEM,"Uses transform",
"PROD-SH","IP-10-0-1-70.US-WEST-2.COMPUTE.INTERNAL","Splunk_TA_linux",global,"linux:collectd:graphite","linux:collectd:graphite : EXTRACT-KVFORLINUX","EXTRACT-KVFORLINUX",,,"^[^\.]+[^\.\n]*\.[^\.]+\.(?<_KEY_1>\S+)\s+(?<_VAL_1>\S+)",SYSTEM,Inline,
